Swahili,English
Asante,Thank you
Bafuni,Bathroom
Chakula,Food
Daktari,Doctor
Elimu,Education
Fahari,Pride
Gari,Car
Haki,Right
Imani,Faith
Jua,Sun
Kiti,Chair
Lala salama,Sleep well
Mchele,Rice
Ndoto,Dream
Ngoma,Dance
Ondoa,Remove
Pesa,Money
Rafiki,Friend
Sanaa,Art
Tafsiri,Interpretation
Uchumi,Economy
Vazi,Clothing
Wazazi,Parents
Yangu,Mine
Zawadi,Gift
Baba,Father
Chui,Leopard
Dada,Sister
Embe,Mango
Fisi,Hyena
Giza,Darkness
Hali,Situation
Ile,That
Jiji,City
Kaka,Brother
Lulu,Pearl
Mchana,Afternoon
Nguvu,Strength
Ofa,Offer
Picha,Picture
Rangi,Color
Siku,Day
Taa,Light
Uchafu,Dirt
Vijana,Youth
Wadogo,Small
Yako,Yours
Zaidi,More
Afya,Health
Baiskeli,Bicycle
Chuo,College
Dini,Religion
Elimu,Education
Faida,Benefit
Gari moshi,Train
Habari,News
Ishara,Sign
Jicho,Eye
Kifua,Chest
Lango,Door
Maji,Water
Ndege,Bird
Nguvu,Power
Ombi,Request
Pango,Cave
Raha,Pleasure
Siri,Secret
Taa,Lamp
Upepo,Wind
Vile,How
Wapenzi,Lovers
Yule,That one
Zaidi,More
Amani,Peace
Bado,Not yet
Chakavu,Delicious
Elimisha,Educate
Fungua,Open
Gwiji,Expert
Huzuni,Sorrow
Ijumaa,Friday
Jina,Name
Kazi,Work
Laini,Soft
Mguu,Leg
Nguo,Clothes
Njaa,Hunger
Ovyo,Carelessly
Pumzika,Rest
Rangi,Color
Sawa,Okay
Karibu,Welcome
Kazi,Job
Mimi,I/me
Sasa,Now
Jana,Yesterday
Leo,Today
Kesho,Tomorrow
Habari gani?,How are you?
Nzuri sana,Very good 
Ndiyo,Yes
Hapana,No
Pole,Sorry
Pole sana,Very sorry 
Tafadhali,Please
Nafurahi,happy  
Furahi,happy  
Sijui,don't know 
Nitakufa,I will die 
Wewe,You
Rafiki yangu,My friend 
Kuna,is/are  
Hakuna,isn't/aren't  
Njoo,Come
Nenda,Go
Nataka,I want
Unataka,You want
Wanataka,They want
Mimi ni mkenya,I am Kenyan
Mimi ni Mtanzania,I am Tanzanian
Asubuhi,Morning
Mchana,Afternoon
Usiku,Night
Choo,Toilet
Pikipiki,Motorcycle
Genge,Gang
Uhuru,Freedom
Waziri,Minister
Mtu,Person
Kufa,die  
Soma,read  
Andika,write  
Uongozi,Leadership
Jeshi,Army
Soko,Market
Vyombo vya habari,Media 
Duka,Shop
Barua,Letter
Shule,School
Chakula kizuri,Good food 
Samahani,Excuse me  
Mzuri,Good/beautiful
Mgeni,Guest
Dakika,Minute
Sekunde,Second
Saa,Hour
Kikombe,cup
barua pepe,email
tarakilishi,komputa
funguo,key
simu,phone
sukari,sugar
peremende,sweet
karatasi,paper
kahawa,coffee
meza,table
kioo,mirror
dirisha,window
kiatu,shoe
birika,kettle
nyeusi,black
nyeupe,white
nyekundu,red
damu,blood
kijani,leaf
kijani,green
hewa,air
nywele,hair
mchanga,soil
sahani,plate
kimbia,run
ninakimbia,I am running
nitakimbia,I will run
nilikimbia,I ran
